Sur une √©chelle de 1 √† 5, comment √©valuez-vous l'importance du confort lors de voyages en avion ?;Sur une √©chelle de 1 √† 5, comment appr√©ciez-vous les voyages en bateau ou en croisi√®re ?;Sur une √©chelle de 1 √† 5, quelle est votre pr√©f√©rence pour les voyages en train ?;Sur une √©chelle de 1 √† 5, quelle importance accordez-vous √† la dur√©e du trajet pour atteindre votre destination ?;Sur une √©chelle de 1 √† 5, comment √©valuez-vous l'importance de l'√©co-responsabilit√© des moyens de transport ?;Sur une √©chelle de 1 √† 5, quelle importance accordez-vous √† la richesse culturelle d'une destination ?;Sur une √©chelle de 1 √† 5, comment √©valuez-vous l'importance des activit√©s en plein air (randonn√©e, plong√©e, etc.) ?;Sur une √©chelle de 1 √† 5, quelle importance accordez-vous √† la vie nocturne de la destination ?;Sur une √©chelle de 1 √† 5, comment √©valuez-vous l'importance de la tranquillit√© et de l'isolement pour votre destination ?;Sur une √©chelle de 1 √† 5, quelle importance accordez-vous √† la pr√©sence de sites historiques ?;Sur une √©chelle de 1 √† 5, comment √©valuez-vous l'importance du luxe par rapport au budget pour votre h√©bergement ?;Sur une √©chelle de 1 √† 5, quelle importance accordez-vous au type d'h√©bergement (h√¥tel, Airbnb, camping, etc.) ?;Sur une √©chelle de 1 √† 5, comment √©valuez-vous l'importance de l'emplacement de l'h√©bergement (central vs. retir√©) ?;Sur une √©chelle de 1 √† 5, quelle importance accordez-vous aux services et commodit√©s offerts par l'h√©bergement (spa, piscine, etc.) ?;Sur une √©chelle de 0 √† 5, quelle importance accordez-vous √† un climat chaud pour votre lune de miel ?;Sur une √©chelle de 1 √† 5, comment √©valuez-vous l'importance d'un climat temp√©r√© ?;Sur une √©chelle de 1 √† 5, quelle importance accordez-vous √† un climat froid ?;Sur une √©chelle de 1 √† 5, comment √©valuez-vous l'importance de la variabilit√© climatique (par exemple, une destination qui offre √† la fois des plages et des montagnes) ?;Sur une √©chelle de 1 √† 5, quelle importance accordez-vous √† la d√©couverte et √† la d√©gustation de la cuisine locale ?;Quelle serait votre destination de lune de miel id√©ale ? ( Merci de sp√©cifiez un pays)
5;3;5;5;5;5;3;3;5;3;3;4;5;3;5;5;3;5;5;Australie 
4;3;4;3;4;4;5;3;4;4;1;4;5;2;4;4;4;5;3;Hawaï
3;1;2;4;1;5;4;4;5;4;2;2;5;4;4;2;1;4;5;Maldives
3;1;5;5;4;5;3;4;5;5;2;5;5;4;5;4;2;5;5;Malaisie
5;4;4;5;4;5;5;2;4;4;4;4;4;4;2;4;4;5;4;Polynésie Française
5;3;4;5;4;4;4;3;3;4;4;4;5;5;4;4;2;4;5;Puerto Rico
4;2;3;4;3;4;5;1;5;4;1;3;5;3;4;4;2;3;3;Seychelles
5;2;3;4;4;5;5;1;4;2;2;4;5;5;4;4;1;5;5;Australie
3;2;5;4;5;2;3;1;4;2;3;3;3;4;4;4;3;3;2;Bahamas
4;2;3;3;4;4;5;1;3;4;2;5;4;3;4;3;3;2;2;Australie
4;1;3;3;1;4;4;1;4;4;5;4;3;4;2;4;3;3;1;Je ne sais pas
5;1;3;5;5;5;4;2;5;5;2;4;4;2;3;3;3;4;5;Suède
3;5;4;3;1;3;4;2;4;4;3;5;5;5;3;5;5;5;4;Tanzanie
4;3;5;5;4;5;5;3;4;5;3;3;5;5;5;4;1;4;5;Grèce
3;2;4;3;4;5;4;4;4;5;2;3;5;3;4;2;1;2;5;Cap Vert 
3;3;3;4;4;5;5;4;2;4;3;4;4;4;5;4;4;5;4;La Réunion
5;4;3;4;3;4;4;3;4;3;3;4;3;3;5;4;3;4;4;Polynésie Française
4;4;4;5;4;4;4;4;5;5;4;5;5;4;4;5;5;5;4;Bahamas
4;3;3;3;3;4;5;3;3;3;4;5;4;4;5;3;2;3;3;Nouvelle-Zélande
5;3;2;2;4;3;5;4;3;3;1;2;3;3;2;3;3;3;4;Maldives
3;2;3;3;2;3;5;3;4;3;2;4;5;3;4;4;4;4;5;Indonésie
5;4;1;4;2;5;5;2;5;3;5;5;4;5;5;3;1;5;4;Haiti
3;2;4;3;5;4;4;2;4;4;2;2;3;1;1;1;1;1;3;Maldives 
5;5;1;3;3;4;3;3;5;5;3;4;5;3;5;4;2;5;3;Polynésie Française
3;2;5;4;1;1;1;1;1;1;2;3;4;1;5;4;1;5;5;Italie
4;1;1;2;2;4;4;2;3;4;3;5;4;5;4;4;1;2;4;Seychelles
3;5;4;4;4;4;4;2;3;4;2;3;4;3;4;3;2;3;5;La Réunion
4;2;4;5;4;5;4;2;3;4;3;4;4;4;5;4;2;4;4;Antilles française
5;4;3;5;4;5;4;5;3;5;4;4;4;4;2;4;2;4;5;Maldives
3;2;3;4;4;4;3;3;2;3;3;4;5;3;4;3;2;5;4;Cuba
4;3;4;3;2;4;4;2;3;4;3;4;4;4;3;3;3;5;4;Zanzibar 
4;1;5;5;3;4;4;2;4;5;4;5;4;5;5;5;1;3;4;Zanzibar 
2;4;1;4;1;1;3;5;2;2;3;4;4;5;4;3;2;4;2;Maldives
4;3;4;3;4;4;4;2;3;4;2;3;3;3;4;3;1;3;3;Zanzibar
4;3;2;4;4;3;3;4;4;2;3;4;4;5;3;4;5;3;4;Indonésie
3;3;4;4;5;4;4;2;3;3;3;3;4;2;4;2;2;3;4;Polynésie Française
4;4;4;3;3;4;2;2;4;3;4;5;4;3;3;3;3;3;4;Indonésie
5;2;5;2;5;5;3;2;3;4;2;3;3;3;3;3;3;3;4;Japon
5;5;4;4;3;4;3;1;5;5;5;3;4;5;4;4;4;4;5;Île Maurice 
